0,1,2,3
-8.627328,41.15244600000001,-8.6273377,41.1524819
-8.628003,41.1525,-8.62800241652,41.1525122532
-8.628003,41.152509,-8.62800284412,41.1525122735
-8.62803,41.1525,-8.62802935543,41.152513536
-8.62875,41.152689,-8.62872902625,41.1526876058
-8.628741,41.153796,-8.62876441574,41.1537957794
-8.628687,41.155065,-8.62868179129,41.1550606507
-8.628354,41.155677000000004,-8.62836993889,41.1556668805
-8.628705,41.156316,-8.62870937976,41.1563111938
-8.629146,41.156487,-8.62914464265,41.1564952673
-8.629344,41.15655,-8.62934751747,41.156528575900005
-8.629605,41.156316,-8.62958001826,41.1563087392
-8.629614,41.156298,-8.629585543360001,41.1562897293
-8.629586999999999,41.156289,-8.62958585228,41.1562886664
-8.629578,41.156289,-8.629585151239999,41.1562910785
-8.629578,41.156298,-8.6295827392,41.156299377399996
-8.629578,41.156307,-8.62958032717,41.1563076764
