0,1,2,3
-8.630460000000001,41.14971,-8.630461609269997,41.149711393800004
-8.629146,41.151185999999996,-8.62913811744,41.1511793266
-8.629191,41.151258,-8.629151914680001,41.151223365
-8.629254,41.151258,-8.62926972082,41.1512722769
-8.628903,41.151807,-8.62891449526,41.1518099495
-8.628722999999999,41.15232,-8.62870778093,41.152315495500005
-8.628696000000001,41.15232,-8.62870560618,41.152322843200004
-8.628678,41.152338,-8.62869925787,41.1523442918
-8.62866,41.152365,-8.62864266461,41.1523604144
-8.628651,41.153121,-8.62865681304,41.1531241269
-8.628696000000001,41.154579,-8.62877197401,41.1545781536
-8.62767,41.155704,-8.627669835499999,41.1557041281
-8.628012,41.156586,-8.62806197005,41.1565470977
-8.628282,41.156793,-8.628264189580001,41.1568068597
-8.628498,41.157126,-8.628531988010002,41.1571178473
-8.628066,41.157792,-8.62804084205,41.1578206002
-8.627283,41.158782,-8.627269737839999,41.1587523269
-8.625078,41.159754,-8.62509594202,41.159794627800004
-8.624691,41.160915,-8.624699996910001,41.1609145439
-8.6247,41.161491,-8.6247209244,41.1614903448
-8.624727,41.161482,-8.6247206693,41.161482198200005
