0,1,2,3
-8.628933,41.1590604,-8.6286575,41.159975
-8.629302099999999,41.158881799999996,-8.6291566,41.1588846
-8.6298816,41.1585994,-8.6299781,41.158503
-8.630334800000002,41.157855700000006,-8.630317100000001,41.1576745
-8.630005,41.157362799999994,-8.629897099999999,41.15728770000001
-8.629850300000001,41.1572017,-8.6296406,41.157086
-8.629327,41.15722750000001,-8.6293799,41.1570584
-8.6269804,41.1549896,-8.628589999999999,41.1570574
-8.6269804,41.1549896,-8.628589999999999,41.1570574
-8.627578999999999,41.1558104,-8.6280005,41.1563407
-8.6269109,41.1550681,-8.6273366,41.1556152
-8.6269104,41.154703399999995,-8.626938800000001,41.1548018
-8.6269104,41.154703399999995,-8.626938800000001,41.1548018
-8.6269104,41.154703399999995,-8.626938800000001,41.1548018
-8.6262477,41.1527769,-8.6264536,41.1534234
-8.626166699999999,41.1521842,-8.625933300000002,41.1515359
-8.6259082,41.151346999999994,-8.625903,41.1513775
-8.6259082,41.151346999999994,-8.625920599999999,41.1513092
-8.6259533,41.15085420000001,-8.625819400000001,41.1513064
-8.6257871,41.1501093,-8.6256472,41.1494926
-8.625573900000001,41.1488902,-8.6255905,41.1488946
-8.6255041,41.148861600000004,-8.6255983,41.14927700000001
-8.625376900000001,41.14877,-8.6254022,41.1488035
-8.6254981,41.148836100000004,-8.625504699999999,41.1487495
-8.6250401,41.1482631,-8.625120599999999,41.1482641
-8.6251926,41.1484455,-8.624423199999999,41.1482233
