0,1,2,3
-8.6302954,41.1499033,-8.630761099999999,41.1493656
-8.6291792,41.1511308,-8.629047300000002,41.15128660000001
-8.629311300000001,41.1510435,-8.6291323,41.1512455
-8.6293755,41.1511558,-8.629137199999999,41.1514182
-8.628973599999998,41.15157960000001,-8.6287691,41.152376600000004
-8.628733500000001,41.1522286,-8.6286923,41.15236779999999
-8.628733500000001,41.1522286,-8.6286923,41.15236779999999
-8.628733500000001,41.1522286,-8.6286923,41.15236779999999
-8.6286396,41.152372,-8.6286856,41.1521981
-8.6287061,41.1530325,-8.628586199999999,41.1532554
-8.628774900000002,41.1548408,-8.6287711,41.1544997
-8.6276449,41.155672100000004,-8.627756699999999,41.1558157
-8.6279269,41.1563736,-8.628245,41.1567822
-8.628245,41.1567822,-8.6284183,41.1570049
-8.6285847,41.1573376,-8.628378699999999,41.156478799999995
-8.6280164,41.15779910000001,-8.628094500000001,41.1578678
-8.6272472,41.1587624,-8.628012400000001,41.1584204
-8.625067699999999,41.1598071,-8.6252801,41.1597133
-8.6246785,41.1604905,-8.6247033,41.1609797
-8.6247325,41.16186,-8.624712800000001,41.1612309
-8.6247325,41.16186,-8.624712800000001,41.1612309
